abl,词根：能力
copi,词根：充裕，丰富
copr,词根：粪
copul,词根：结合
cor,【医】 心脏， 心【词根】心【前缀】一同，合并
cord,/ kR:d/n. 绳索；束缚【词根】心
cori,词根：skin（皮）
corn,n. （美）玉米【词根】角
coron,词根：冠状
corp,【经】 公司【词根】身体
corpor,【词根】体
corrig,词根：correct（改正）
cort,词根：公正的;正当的
corusc,词根：glitter（发光）
cosm,【词根】宇宙；次序
cosmet,词根：美丽
cosmo,词根：世界，宇宙
cost,vi. 花费【词根】习惯
coun,【前缀】国家，全
count,/ kaunt/v.数(数目)，点计(数)【词根】数；计算
counter,/ 5kauntE/  n.柜台【前缀】反对；逆
countrer,前缀:反对，相反
coup,/ 'ku:/ n. 砰然的一击， 妙计【词根】切割
cour,【词根】心；跑
cours,"词根：表示“跑，发生”"""
cover,/ 5kQvE/n. 封面，封皮；盖子；掩蔽物【词根】覆盖
cow,/ kau/n.奶牛。词根：牛
cr,准词根：叫喊；爬行
cra,词根：混，煮
cracy,【词根】统治；权利
cran,词根：弯，扭
crani,词根：头颅
cranio,词根：头脑 
cras,词根：mixing（混合）
crastin,词根：tomorrow（明天）
crat,【词根】统治
crav,词根：工艺，技艺，力
cre,【词根】制造；生长;放
crea,词根：创造，增长，产生
creas,"词根：表示“增长，产生”"""
crease,"n. 折痕【词根】表示“增长，产生”"""
creat,词根：生长
cred,n. 街头信誉【词根】相信
creet,词根：搞清，区别
crep,词根：出声rattle
crepit,词根：burst（爆裂）
cresc,【词根】制造；生长
cret,【词根】分开;放；创造
cri,词根：审判，审理
cric,词根：圆圈
crim,n. （澳）罪犯【词根】罪
crimin,【词根】分辨
crip,词根：皱，卷；爬行
cris,【词根】评判
crit,n. 暴击【词根】判断，分辨
cro,词根：顶点，高
croach,词根：钩，弯曲
croch,词根：交叉，十字架，信仰，相信
cros,词根：交叉，十字架，信仰，相信
crsc,词根：统治
cru,n. 酒的度数【词根】粗，生长
cruc,【词根】十字，交叉
crud,/ krQd/ n. 渣滓；脏家伙；搀和物【词根】raw（生的）
crue,词根：生长，成长，增加
cruis,词根：交叉，十字架，信仰，相信
crus,n. 小腿【词根】十字，交叉
cry,/ krai/vi. 哭；叫；喊【词根】冷
cryo,词根：寒冷 
cryph,词根：隐藏
crypt,n. 土窖，地下室；腺窝【前缀】隐藏的
crystall,词根：crystal结晶
cu,词根：胀，鼓，洞
cub,/ kQb/ n. 幼兽， 年轻人【词根】躺，卧
cuis,词根：烹调，热
cul,【后缀】耕种，培养
culc,词根：踏；踩
cule,【后缀】表小称或“缩小”
culin,词根：kitchen（厨房）
culmin,词根：top（顶）
culp,【词根】责备；罪
cult,/ kQlt/  n.狂热信徒，崇拜者【词根】耕种，培养
cumb,【词根】躺下
cumbr,词根：obstruction妨碍
cumul,词根：堆积
cup,n.  杯子， 优胜杯， 茶杯【词根】抓，取，拿
cupr,词根：铜，一价铜，二价铜
cupro,词根：铜，一价铜，二价铜
cur,/ kE:/ n. 恶狗， 杂狗【词根】跑；流动
cura,词根：关心
cure,/ kjuE/n. 治愈； 药物； 疗法；【词根】小心；注意
curr,vi. 发咕咕声；咕咕叫【词根】跑，发生，快速做
curs,n. 杂种狗【词根】跑；流动
curt,/ kE:t/adj. 简略的；简要的【词根】short（短）
curv,词根：弯曲；环绕，周围
cus,词根：原因，砍，击
cuse,【词根】理由
cuss,/ kQs/ n. 诅咒， 坏话， 家伙【词根】击，打，摇动
cust,【词根】习惯
custod,词根：guard（看护）
cut,/ kQt/ n. 切口， 割伤， 降低， 伤口 【词根】皮
cutl,词根：刀
cy,【后缀】表示抽象名词
cyc,词根：圆；环
cycl,n. 轮子；圆圈；循环【词根】圆圈，周期
cyclo,n. 三轮车【词根】圆圈，周期
cylind,词根：roll（卷）
cyn,词根：表示“狗”
cysto,词根：胞，囊，膀胱
cyt,词根：细胞 
cyte,词根：细胞
cyto,词根：细胞
d,前缀：右或顺时针方向.后缀:构成某些动词的过去式等
dactyl,n.强弱格，长短格； 手指【词根】手指
dai,词根：日，天
dain,词根：有价值的
dam,/ dAm/n.水坝，水堤；障碍物。词根：统治，家，屋，驯服
dama,词根：conpuer（征服）
damn,vi. 谴责【词根】损害，诅咒
dan,n. 段【词根】低地
dang,词根：悬挂;危险
dat,【词根】给
de,【化】 非对映体过量【前缀】去，反，解，往底下
deb,/ deb/ n. 初上舞台的人【词根】负债
dec,【词根】十，适当的
deca,【前缀】十
decem,【前缀】十
deci,【计】 十分之一【前缀】十
decim,词根：手指；十
dei,【词根】神
delect,词根：delight（愉快）
delir,词根：mad  (疯）
delt,词根：三角
dem,【词根】民众
demi,adj. 小的，一半的【前缀】半
demn,【词根】损害
demo,n. 演示；样本唱片；民主党员【词根】人民，人们
dendr,词根：树
dens,n. 兽窝，兽穴（den的复数）；牙齿【词根】浓密
dent,/ dent/n. 凹痕；削弱；减少；齿【词根】牙齿
dento,词根：tooth牙齿；tooth树
dep,词根：深，倒，筛，滴
der,【词根】给予
derm,n. 真皮；皮肤【词根】皮肤
derma,n.真皮【词根】皮肤
dermat,【词根】皮肤
des,【前缀】脱，去，除，离，解除
deterior,词根：worse（更坏）
deuter,词根：第二
dex,词根：手指；说；教，信仰
dext,词根：右边，熟练
dexter,adj. 右侧的；幸运的【词根】右边的；熟练的
dextr,【词根】右边的；右手；熟练的
dextro,词根：熟练的
dg,【词根】指出
di,【词根】日【前缀】二
dia,【前缀】在两者之间
diabol,词根：魔鬼
dibil,词根：weak  (衰弱)
dic,【词根】宣称；说
dict,【词根】说
didact,/ di'dAkt/ n. 说教者【词根】teach（教）
die,vi. 死亡 【词根】日，发光
dif,"【前缀】表示""不，否定，分开"""
dig,/ dig/ vt. 挖， 翻土， 发掘【词根】需要need，lack
digit,n. 数字，位数，指头【词根】finger（手指）
dign,【词根】价值；有价值的
dil,【前缀】表示否定、相反或相对；表示分离
dipl,词根：double双，复，两
diplo,词根：两倍
dips,词根：口渴
dis,【前缀】表示“分开； 分离； 否定； 不”之义
dit,/ dit/ n. (摩尔斯讯号的)点【词根】给；说
div,词根：神；深
divid,词根：分割
divin,词根：神
divis,【词根】分割
do,/ du:， du/  aux.v.vt.做，干，办【前缀】二；双
doc,【词根】教导
doct,【词根】教
dodeca,【前缀】十二
dog,/ dRg/n. 狗；vt. 跟踪【词根】teach教
dogm,词根：opinion（观点）
dogma,/ 'dRgmE/ n. 教条【词根】教条的
dol,【医】 痛单位【词根】分发；悲伤，觉得痛
dole,/ dEul/n. 施舍; 少量的施舍物【词根】悲伤
dom,【词根】家；房子；驯服；驯服【后缀】表示抽象名词
domin,词根：统治，控制
domit,词根：tame（驯服）
don,/ dCn/vt. 穿上， 披上;n. 大学教师【词根】给予
dont,词根：牙齿
dorm,/ dR:m/  n.宿舍【词根】睡觉
dors,词根：back（背）
dos,abbr. 磁盘操作系统【词根】给
dot,/ dRt/n.小点，圆点 vt.点缀【词根】给予
dou,词根:二；双
doub,词根:二；双
dow,【词根】给予
dox,【词根】意见
dr,准词根：坠落；拉扯，拽
dra,词根：抽，拉引，拖
draft,/ dra:ft/vt.起草， 为...打样， 设计【词根】pull拉
draw,/ drR:/  画【词根】拉，抽，拖
dress,/ dres/n. 连衣裙；女装【词根】针对；纠正；穿
drif,词根：驱，赶，推动
driv,词根：驱，赶，推动
drom,【词根】跑；走
drome,n.飞机场【词根】跑；走
du,【计】 定义使用【词根】负债【前缀】二，双
dub,"/ dQb/n. 笨蛋； v.给…起绰号。词根：表示""二，双"""
dubi,【医】 雅司病【词根】doubtful  (怀疑）
duc,【词根】引导
duce,n.  元首; 领袖【词根】引导
